Avg_Lifetime_Value,Total_Claim_Amount,Total_Policies,Avg_Monthly_Premium,Avg_Income,Total_Positive_Responses,Avg_Open_Complaints,Avg_Months_Since_Claim,High_Value_Customer,Cross_Sell_Potential,Engaged_Customer,Recency_Since_Last_Policy,Potential_Revenue_Increase,State,Coverage,Education,EmploymentStatus,Vehicle_Class,Premium_Affordability,Risk_Category,Retention_Risk,Cluster
7901.744238,960.399730125,5.0,113.0,0.0,0,0.0,35.0,0,1,0,83,113.0,California,Basic,High School or Below,Unemployed,SUV,Low,High,Low,"Moderate Income, Lower Cross-Sell Potential"
2568.843396,350.4,1.0,73.0,11167.0,0,3.0,0.0,0,0,0,99,0.0,Nevada,Basic,Bachelor,Medical Leave,Two-Door Car,High,Medium,High,"High Income, Moderate Engagement"
16414.039911750002,511.2,2.0,71.0,14072.0,1,0.0,13.0,1,0,1,3,0.0,Washington,Basic,Bachelor,Medical Leave,Four-Door Car,High,Medium,Low,Balanced Portfolio
6595.101921,847.717402,7.0,105.0,0.0,0,2.0,2.0,0,1,0,38,105.0,California,Premium,Bachelor,Unemployed,Four-Door Car,Low,High,Medium,"Moderate Income, Lower Cross-Sell Potential"
16414.039911750002,960.399730125,2.0,170.5,33635.0,0,0.0,1.0,1,0,0,23,0.0,California,Extended,College,Employed,Luxury SUV,Medium,High,Low,Stable Revenue Contributors
8002.308333,513.6,3.0,107.0,0.0,1,0.0,3.0,0,1,1,65,107.0,Arizona,Basic,College,Unemployed,SUV,Low,Medium,Low,Balanced Portfolio
5595.389905,340.8,3.0,71.0,74454.0,1,0.0,25.0,0,1,1,29,71.0,Arizona,Basic,High School or Below,Employed,Four-Door Car,High,Medium,Low,Balanced Portfolio
3964.730745,494.4,1.0,103.0,60817.0,0,1.0,3.0,0,0,0,79,0.0,Nevada,Premium,Bachelor,Employed,Four-Door Car,High,Medium,Medium,"High Income, Moderate Engagement"
11986.59212,470.4,2.0,98.0,87560.0,0,1.0,4.0,1,0,0,86,0.0,Arizona,Extended,Master,Employed,Two-Door Car,High,Medium,Medium,Stable Revenue Contributors
7083.642205,686.815162,1.0,170.5,97024.0,0,0.0,0.0,0,0,0,68,0.0,California,Premium,College,Employed,SUV,High,Medium,Low,"High Income, Moderate Engagement"
3735.838129,792.0,1.0,110.0,0.0,0,0.0,3.0,0,0,0,16,0.0,California,Basic,Bachelor,Unemployed,SUV,Low,High,Low,"High Income, Moderate Engagement"
3861.486269,281.110788,1.0,95.0,93272.0,1,0.0,3.0,0,0,1,54,0.0,California,Extended,College,Employed,Four-Door Car,High,Medium,Low,Balanced Portfolio
8888.875454,413.492922,2.0,81.0,21509.0,0,1.0,24.0,0,0,0,24,0.0,California,Extended,College,Employed,Two-Door Car,High,Medium,Medium,"High Income, Moderate Engagement"
7998.347343,602.431489,3.0,112.0,26487.0,0,0.0,0.0,0,1,0,82,112.0,Oregon,Basic,High School or Below,Retired,SUV,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
16414.039911750002,842.391832,2.0,131.0,0.0,0,0.0,20.0,1,0,0,59,0.0,Washington,Extended,High School or Below,Unemployed,SUV,Low,High,Low,Stable Revenue Contributors
2577.319607,345.180055,1.0,64.0,74215.0,0,0.0,27.0,0,0,0,41,0.0,Arizona,Basic,High School or Below,Employed,Two-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
15467.78904,98.921782,2.0,129.0,77517.0,0,0.0,19.0,1,0,0,20,0.0,California,Extended,High School or Below,Employed,SUV,High,Low,Low,Stable Revenue Contributors
5918.066128,350.4,3.0,73.0,77521.0,0,0.0,6.0,0,1,0,66,73.0,Oregon,Basic,Doctor,Employed,Two-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
16414.039911750002,336.0,2.0,70.0,36007.0,0,0.0,14.0,1,0,0,85,0.0,California,Basic,Master,Employed,Four-Door Car,High,Medium,Low,Stable Revenue Contributors
4639.981638,84.024413,1.0,117.0,28358.0,0,0.0,24.0,0,0,0,37,0.0,California,Basic,Bachelor,Employed,Sports Car,High,Low,Low,"High Income, Moderate Engagement"
7725.535708,460.8,8.5,96.0,96748.0,0,0.0,13.0,0,1,0,68,96.0,California,Extended,Bachelor,Employed,Two-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
11124.20636,42.293622,2.0,96.0,42596.0,0,0.0,8.0,1,0,0,82,0.0,Oregon,Extended,College,Employed,Four-Door Car,High,Low,Low,Stable Revenue Contributors
2393.915369,425.266308,1.0,70.0,0.0,1,0.0,24.0,0,0,1,10,0.0,California,Basic,College,Unemployed,Four-Door Car,Low,Medium,Low,Balanced Portfolio
6032.737631,412.8,8.0,86.0,0.0,0,0.0,4.0,0,1,0,56,86.0,Arizona,Extended,College,Unemployed,Two-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
4628.995325,482.4,4.0,67.0,0.0,0,0.0,25.0,0,1,0,21,67.0,California,Basic,Bachelor,Unemployed,Two-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
4853.100287,717.285949,1.0,125.0,17120.0,0,0.0,14.0,0,0,0,95,0.0,Arizona,Extended,High School or Below,Medical Leave,SUV,Medium,Medium,Low,"High Income, Moderate Engagement"
7477.176362,262.746281,8.5,94.0,48552.0,0,0.0,5.0,0,1,0,54,94.0,Arizona,Extended,High School or Below,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
2497.808174,165.570243,1.0,64.0,68041.0,0,0.0,10.0,0,0,0,47,0.0,Washington,Basic,Bachelor,Employed,Two-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
16414.039911750002,312.0,2.0,65.0,0.0,1,0.0,9.0,1,0,1,31,0.0,California,Basic,Bachelor,Unemployed,Two-Door Car,Low,Medium,Low,Balanced Portfolio
5666.867962,189.907577,8.5,71.0,53907.0,0,0.0,1.0,0,1,0,52,71.0,California,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
13862.10016,633.132017,2.0,115.0,96950.0,0,0.0,20.0,1,0,0,74,0.0,Nevada,Basic,Bachelor,Employed,Sports Car,High,Medium,Low,Stable Revenue Contributors
3694.647081,610.617285,1.0,102.0,0.0,0,0.0,13.0,0,0,0,84,0.0,California,Basic,Bachelor,Unemployed,SUV,Low,Medium,Low,"High Income, Moderate Engagement"
5768.091295,418.927204,8.5,74.0,35091.0,0,0.0,27.0,0,1,0,19,74.0,Arizona,Basic,College,Employed,Two-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
5533.229132,504.0,8.5,70.0,23241.0,0,0.0,11.0,0,1,0,14,70.0,Nevada,Basic,Bachelor,Employed,Two-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
16414.039911750002,960.399730125,8.5,170.5,42696.0,0,0.0,17.0,1,1,0,50,180.0,California,Extended,High School or Below,Employed,Luxury Car,High,High,Low,Stable Revenue Contributors
4837.926404,468.0,3.0,65.0,0.0,0,0.0,6.0,0,1,0,89,65.0,California,Basic,High School or Below,Unemployed,Four-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
4637.544647,352.130674,3.0,68.0,0.0,0,0.0,18.0,0,1,0,81,68.0,Arizona,Basic,High School or Below,Unemployed,Four-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
3554.845264,55.510526,1.0,88.0,58557.0,1,0.0,4.0,0,0,1,83,0.0,California,Extended,Master,Employed,Four-Door Car,High,Low,Low,Balanced Portfolio
3324.551776,441.6,1.0,92.0,0.0,0,0.0,13.0,0,0,0,17,0.0,Oregon,Extended,High School or Below,Unemployed,Two-Door Car,Low,Medium,Low,"High Income, Moderate Engagement"
12564.06775,326.4,2.0,68.0,0.0,0,0.0,15.0,1,0,0,52,0.0,California,Basic,Doctor,Unemployed,Four-Door Car,Low,Medium,Low,Stable Revenue Contributors
8658.863813,400.181882,4.0,109.0,62464.0,1,0.0,23.0,0,1,1,45,109.0,California,Basic,College,Employed,Sports Car,High,Medium,Low,Balanced Portfolio
5160.251878,619.2,1.0,129.0,87050.0,0,0.0,1.0,0,0,0,75,0.0,Arizona,Extended,High School or Below,Employed,SUV,High,Medium,Low,"High Income, Moderate Engagement"
2839.013244,388.8,1.0,81.0,0.0,0,0.0,22.0,0,0,0,26,0.0,Oregon,Extended,Bachelor,Unemployed,Two-Door Car,Low,Medium,Low,"High Income, Moderate Engagement"
3430.316936,10.478305,1.0,86.0,54339.0,0,0.0,10.0,0,0,0,52,0.0,Arizona,Extended,High School or Below,Employed,Four-Door Car,High,Low,Low,"High Income, Moderate Engagement"
12817.41348,302.272725,2.0,67.0,28651.0,0,0.0,4.0,1,0,0,25,0.0,California,Basic,College,Employed,Four-Door Car,High,Medium,Low,Stable Revenue Contributors
16414.039911750002,960.399730125,2.0,170.5,28773.0,0,0.0,14.0,1,0,0,72,0.0,California,Extended,Bachelor,Employed,Luxury Car,Medium,High,Low,Stable Revenue Contributors
9816.528302,128.969729,2.0,62.0,37256.0,1,0.0,15.0,0,0,1,7,0.0,Arizona,Basic,College,Employed,Four-Door Car,High,Low,Low,Balanced Portfolio
2396.219292,433.160284,1.0,66.0,0.0,1,2.0,6.0,0,0,1,71,0.0,California,Basic,Bachelor,Unemployed,Four-Door Car,Low,Medium,Medium,Balanced Portfolio
4993.025273,101.34165,7.0,63.0,75090.0,0,1.0,10.0,0,1,0,67,63.0,Oregon,Basic,College,Employed,Four-Door Car,High,Low,Medium,"Moderate Income, Lower Cross-Sell Potential"
8427.723769,373.324673,2.0,72.0,20662.0,0,0.0,10.0,0,0,0,99,0.0,Oregon,Basic,Bachelor,Employed,Two-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
7379.456823,205.294927,2.0,61.0,61584.0,0,0.0,18.0,0,0,0,93,0.0,California,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
8224.770259,324.097433,3.0,104.0,82634.0,0,0.0,8.0,0,1,0,74,104.0,Arizona,Basic,Bachelor,Employed,SUV,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
4974.801539,467.803638,8.5,65.0,75644.0,1,3.0,5.0,0,1,1,68,65.0,California,Basic,Bachelor,Employed,Two-Door Car,High,Medium,High,Balanced Portfolio
7212.143863,61.285525,2.0,61.0,75891.0,0,0.0,1.0,0,0,0,5,0.0,Washington,Basic,Bachelor,Employed,Two-Door Car,High,Low,Low,"High Income, Moderate Engagement"
7859.414569,813.6,7.0,113.0,0.0,0,0.0,19.0,0,1,0,10,113.0,Washington,Basic,High School or Below,Unemployed,SUV,Low,High,Low,"Moderate Income, Lower Cross-Sell Potential"
5973.14343,350.4,3.0,73.0,96163.0,0,0.0,23.0,0,1,0,90,73.0,Arizona,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
7765.228166,465.6,3.0,97.0,56337.0,0,0.0,26.0,0,1,0,25,97.0,Washington,Extended,Bachelor,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
2429.374554,138.588291,1.0,61.0,74241.0,0,0.0,21.0,0,0,0,57,0.0,Oregon,Basic,Bachelor,Employed,Two-Door Car,High,Low,Low,"High Income, Moderate Engagement"
4392.982538,542.4,1.0,113.0,33640.0,0,0.0,20.0,0,0,0,20,0.0,California,Basic,Bachelor,Employed,SUV,High,Medium,Low,"High Income, Moderate Engagement"
10419.16743,200.662297,8.5,129.0,80192.0,0,0.0,8.0,1,1,0,69,129.0,California,Extended,Bachelor,Employed,SUV,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
7255.714453,451.2,7.0,94.0,10710.0,0,0.0,12.0,0,1,0,33,94.0,California,Extended,College,Medical Leave,Two-Door Car,Medium,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
8406.385414,43.548973,2.0,70.0,42540.0,0,0.0,15.0,0,0,0,52,0.0,Oregon,Basic,College,Employed,Four-Door Car,High,Low,Low,"High Income, Moderate Engagement"
5792.666316,345.6,5.0,72.0,87382.0,0,0.0,26.0,0,1,0,65,72.0,Arizona,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
12827.42831,842.4,2.0,117.0,0.0,0,0.0,25.0,1,0,0,43,0.0,Arizona,Premium,College,Unemployed,Two-Door Car,Low,High,Low,Stable Revenue Contributors
7189.106255,428.907968,6.0,90.0,75838.0,0,0.0,6.0,0,1,0,64,90.0,Oregon,Extended,Bachelor,Employed,Two-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
7329.777554,888.0,1.0,170.5,59630.0,0,0.0,9.0,0,0,0,67,0.0,Arizona,Premium,College,Employed,SUV,High,High,Low,"High Income, Moderate Engagement"
11431.73089,588.742251,2.0,100.0,28657.0,0,0.0,4.0,1,0,0,55,0.0,California,Basic,High School or Below,Disabled,SUV,High,Medium,Low,Stable Revenue Contributors
6941.900812,460.8,3.0,96.0,0.0,0,0.0,21.0,0,1,0,18,96.0,Oregon,Extended,High School or Below,Unemployed,Four-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
5418.726537,90.524457,3.0,67.0,39133.0,0,0.0,25.0,0,1,0,26,67.0,Nevada,Basic,College,Employed,Four-Door Car,High,Low,Low,"Moderate Income, Lower Cross-Sell Potential"
2356.074955,302.4,1.0,63.0,0.0,0,0.0,22.0,0,0,0,94,0.0,Oregon,Basic,Bachelor,Unemployed,Four-Door Car,Low,Medium,Low,"High Income, Moderate Engagement"
8595.726399,186.459607,8.0,108.0,76763.0,0,0.0,12.0,0,1,0,87,108.0,California,Basic,College,Employed,SUV,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
14024.35839,256.43803,2.0,115.0,81872.0,1,0.0,10.0,1,0,1,55,0.0,Washington,Premium,High School or Below,Employed,Four-Door Car,High,Medium,Low,Balanced Portfolio
2448.646138,331.2,1.0,69.0,0.0,0,0.0,7.0,0,0,0,68,0.0,Oregon,Basic,College,Unemployed,Two-Door Car,Low,Medium,Low,"High Income, Moderate Engagement"
2805.098562,336.0,1.0,70.0,26004.0,0,0.0,12.0,0,0,0,3,0.0,Oregon,Basic,High School or Below,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
3412.566597,326.132867,1.0,87.0,30335.0,0,0.0,17.0,0,0,0,42,0.0,California,Extended,Bachelor,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
5386.325174,349.431986,3.0,68.0,33716.0,0,1.0,18.0,0,1,0,67,68.0,California,Basic,College,Employed,Four-Door Car,High,Medium,Medium,"Moderate Income, Lower Cross-Sell Potential"
8085.448545,264.040157,2.0,68.0,61409.0,0,0.0,30.0,0,0,0,80,0.0,Oregon,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
16414.039911750002,626.4,2.0,87.0,0.0,0,0.0,9.0,1,0,0,75,0.0,Oregon,Extended,College,Unemployed,Four-Door Car,Low,Medium,Low,Stable Revenue Contributors
14700.49784,554.143798,2.0,94.0,29695.0,0,0.0,34.0,1,0,0,66,0.0,California,Extended,Bachelor,Employed,Four-Door Car,High,Medium,Low,Stable Revenue Contributors
5850.451386,350.4,3.0,73.0,24317.0,0,1.0,2.0,0,1,0,35,73.0,California,Basic,Doctor,Employed,Four-Door Car,High,Medium,Medium,"Moderate Income, Lower Cross-Sell Potential"
2616.613903,316.8,1.0,66.0,72302.0,1,0.0,6.0,0,0,1,27,0.0,California,Basic,College,Employed,Two-Door Car,High,Medium,Low,Balanced Portfolio
16414.039911750002,494.187643,2.0,79.0,58851.0,0,1.0,11.0,1,0,0,33,0.0,Washington,Extended,High School or Below,Employed,Four-Door Car,High,Medium,Medium,Stable Revenue Contributors
7907.133288,151.835574,3.0,101.0,24666.0,0,0.0,32.0,0,1,0,51,101.0,Nevada,Basic,College,Employed,Sports Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
4636.54647,316.8,5.0,66.0,26802.0,1,1.0,7.0,0,1,1,43,66.0,California,Basic,College,Retired,Two-Door Car,High,Medium,Medium,Balanced Portfolio
16414.039911750002,585.6,2.0,122.0,44246.0,0,3.0,1.0,1,0,0,18,0.0,Arizona,Extended,College,Employed,SUV,High,Medium,High,Stable Revenue Contributors
16414.039911750002,660.474274,2.0,170.5,84650.0,0,3.0,13.0,1,0,0,39,0.0,Arizona,Basic,College,Employed,Luxury Car,High,Medium,High,Stable Revenue Contributors
2859.40857,340.8,1.0,71.0,51790.0,0,0.0,12.0,0,0,0,43,0.0,California,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
